dataset,seed,kernel,rmse,r2,mean_uncertainty
solar_flare,0,rbf,0.85865074,0.009286007360519322,0.0056943828240036964
solar_flare,0,matern,0.8636999,-0.002399705821711784,0.008129323832690716
solar_flare,0,linear,0.9007338,-0.0902049590935401,0.007042774930596352
solar_flare,0,linear_rbf,0.85803956,0.010695821334854805,0.017489954829216003
abalone,0,rbf,2.4206002,0.4587351798602731,0.04824722930788994
abalone,0,matern,2.2898295,0.515638120523616,0.0432184673845768
abalone,0,linear,2.6134877,0.3690359825435393,0.07136878371238708
abalone,0,linear_rbf,2.331591,0.4978095388652819,0.08475570380687714
concrete_compressive_strength,0,rbf,9.949634,0.6158228031778906,0.5003277659416199
concrete_compressive_strength,0,matern,9.737655,0.6320182802189442,0.3985314965248108
concrete_compressive_strength,0,linear,10.397695,0.5804424274497286,0.757971465587616
concrete_compressive_strength,0,linear_rbf,9.99072,0.6126433520370418,1.285823941230774
