dataset,seed,tau,rmse_vspyct,rmse_vspyct_gp,mean_uncertainty,relative_improvement
solar_flare,0,0.5,0.8046182,0.9323383,0.0318351574242115,-15.873381495475769
solar_flare,0,1.0,0.8046182,0.9326695,0.030710820108652115,-15.914547443389893
solar_flare,0,2.0,0.8046182,0.9416439,0.026388633996248245,-17.029905319213867
solar_flare,0,3.0,0.8046182,0.9296434,0.02021050453186035,-15.538452565670013
solar_flare,0,4.5,0.8046182,0.9164228,0.01544858142733574,-13.895361125469208
solar_flare,0,6.0,0.8046182,0.89610374,0.01257028616964817,-11.370059102773666
solar_flare,0,8.0,0.8046182,0.9075219,0.011575027368962765,-12.789137661457062
solar_flare,0,10.0,0.8046182,0.9319604,0.011957759037613869,-15.826416015625
abalone,0,0.5,2.409522,2.4252691,0.30772751569747925,-0.653535034507513
abalone,0,1.0,2.409522,2.412689,0.2934020757675171,-0.13143328251317143
abalone,0,2.0,2.409522,2.3897996,0.2311147153377533,0.8185217157006264
abalone,0,3.0,2.409522,2.3395672,0.14301955699920654,2.903267554938793
abalone,0,4.5,2.409522,2.310141,0.05399041250348091,4.124509543180466
abalone,0,6.0,2.409522,2.3498013,0.022970817983150482,2.478531189262867
abalone,0,8.0,2.409522,2.3467848,0.011869259178638458,2.603720687329769
abalone,0,10.0,2.409522,2.3504221,0.008865755051374435,2.4527650326490402
concrete_compressive_strength,0,0.5,9.895377,12.262058,2.779268503189087,-23.91703724861145
concrete_compressive_strength,0,1.0,9.895377,12.246472,2.6867198944091797,-23.75953048467636
concrete_compressive_strength,0,2.0,9.895377,11.7796545,2.210681915283203,-19.04199570417404
concrete_compressive_strength,0,3.0,9.895377,11.163561,1.3985081911087036,-12.815921008586884
concrete_compressive_strength,0,4.5,9.895377,10.840443,0.4604491889476776,-9.550575911998749
concrete_compressive_strength,0,6.0,9.895377,11.100322,0.22145827114582062,-12.176843732595444
concrete_compressive_strength,0,8.0,9.895377,11.130506,0.14603130519390106,-12.481872737407684
concrete_compressive_strength,0,10.0,9.895377,10.880786,0.07933442294597626,-9.9582739174366
